E_A#27 / keV,N_A#27,E_A#36 / keV,N_A#36,E_A#37 / keV,N_A#37,E_A#38 / keV,N_A#38,E_A#39 / keV,N_A#39,E_A#40 / keV,N_A#40,E_A#41 / keV,N_A#41,E_A#43 / keV,N_A#43
397.5,118,397.5,148,397.5,149,397.5,172,397.5,166,397.5,110,397.5,101,397.5,125
400.4,117,400.4,131,400.4,136,400.4,160,400.4,146,400.4,121,400.4,114,400.4,124
403.2,112,403.2,134,403.2,138,403.2,153,403.2,143,403.2,121,403.2,123,403.2,124
406.1,99,406.1,129,406.1,167,406.1,129,406.1,139,406.1,120,406.1,124,406.1,118
408.9,96,408.9,145,408.9,161,408.9,147,408.9,141,408.9,119,408.9,113,408.9,118
411.7,102,411.7,146,411.7,155,411.7,166,411.7,129,411.7,105,411.7,134,411.7,96
414.6,86,414.6,144,414.6,137,414.6,147,414.6,129,414.6,129,414.6,134,414.6,121
417.4,96,417.4,131,417.4,169,417.4,156,417.4,140,417.4,131,417.4,130,417.4,98
420.2,101,420.2,148,420.2,146,420.2,153,420.2,152,420.2,118,420.2,129,420.2,107
423.1,100,423.1,144,423.1,152,423.1,155,423.1,150,423.1,129,423.1,117,423.1,118
425.9,108,425.9,117,425.9,157,425.9,161,425.9,129,425.9,135,425.9,120,425.9,108
428.7,88,428.7,114,428.7,151,428.7,144,428.7,131,428.7,110,428.7,125,428.7,118
431.6,93,431.6,117,431.6,141,431.6,158,431.6,131,431.6,142,431.6,94,431.6,104
434.4,88,434.4,125,434.4,145,434.4,144,434.4,147,434.4,117,434.4,120,434.4,90
437.3,108,437.3,126,437.3,155,437.3,123,437.3,123,437.3,144,437.3,133,437.3,99
440.1,111,440.1,138,440.1,131,440.1,125,440.1,149,440.1,132,440.1,114,440.1,93
442.9,115,442.9,123,442.9,146,442.9,135,442.9,137,442.9,118,442.9,120,442.9,104
445.8,101,445.8,116,445.8,137,445.8,144,445.8,140,445.8,125,445.8,132,445.8,108
448.6,97,448.6,113,448.6,141,448.6,138,448.6,131,448.6,115,448.6,102,448.6,93
451.4,100,451.4,103,451.4,142,451.4,125,451.4,111,451.4,103,451.4,115,451.4,90
454.3,92,454.3,109,454.3,123,454.3,109,454.3,137,454.3,103,454.3,106,454.3,104
457.1,106,457.1,130,457.1,112,457.1,106,457.1,126,457.1,127,457.1,111,457.1,101
459.9,111,459.9,116,459.9,117,459.9,147,459.9,124,459.9,97,459.9,101,459.9,102
462.8,115,462.8,107,462.8,123,462.8,136,462.8,128,462.8,124,462.8,121,462.8,112
465.6,122,465.6,115,465.6,124,465.6,155,465.6,110,465.6,120,465.6,112,465.6,124
468.5,119,468.5,91,468.5,128,468.5,143,468.5,148,468.5,131,468.5,144,468.5,127
471.3,155,471.3,122,471.3,137,471.3,155,471.3,145,471.3,143,471.3,167,471.3,144
474.1,189,474.1,117,474.1,155,474.1,178,474.1,143,474.1,165,474.1,203,474.1,162
477,224,477,103,477,122,477,201,477,199,477,190,477,208,477,182
479.8,260,479.8,143,479.8,179,479.8,226,479.8,204,479.8,247,479.8,239,479.8,220
482.6,330,482.6,127,482.6,167,482.6,211,482.6,258,482.6,283,482.6,271,482.6,286
485.5,489,485.5,142,485.5,204,485.5,237,485.5,288,485.5,316,485.5,342,485.5,373
488.3,534,488.3,152,488.3,226,488.3,320,488.3,341,488.3,402,488.3,393,488.3,389
491.1,566,491.1,162,491.1,223,491.1,329,491.1,393,491.1,457,491.1,480,491.1,468
494,765,494,179,494,271,494,386,494,476,494,558,494,522,494,608
496.8,814,496.8,174,496.8,271,496.8,404,496.8,567,496.8,667,496.8,662,496.8,667
499.7,859,499.7,168,499.7,306,499.7,480,499.7,613,499.7,708,499.7,714,499.7,757
502.5,1021,502.5,210,502.5,336,502.5,522,502.5,673,502.5,779,502.5,807,502.5,851
505.3,1160,505.3,198,505.3,320,505.3,514,505.3,743,505.3,849,505.3,860,505.3,888
508.2,1160,508.2,197,508.2,329,508.2,589,508.2,790,508.2,869,508.2,893,508.2,943
511,1265,511,216,511,313,511,613,511,811,511,892,511,968,511,976
513.8,1244,513.8,222,513.8,368,513.8,607,513.8,827,513.8,893,513.8,961,513.8,1038
516.7,1225,516.7,196,516.7,357,516.7,582,516.7,752,516.7,871,516.7,973,516.7,965
519.5,1180,519.5,204,519.5,299,519.5,545,519.5,751,519.5,806,519.5,904,519.5,990
522.3,1098,522.3,183,522.3,319,522.3,569,522.3,711,522.3,797,522.3,864,522.3,894
525.2,1043,525.2,158,525.2,297,525.2,515,525.2,644,525.2,690,525.2,766,525.2,803
528,932,528,151,528,255,528,445,528,600,528,628,528,648,528,766
530.9,811,530.9,162,530.9,208,530.9,369,530.9,515,530.9,583,530.9,631,530.9,690
533.7,682,533.7,112,533.7,206,533.7,372,533.7,467,533.7,483,533.7,523,533.7,609
536.5,579,536.5,104,536.5,185,536.5,272,536.5,396,536.5,430,536.5,446,536.5,503
539.4,454,539.4,76,539.4,128,539.4,226,539.4,290,539.4,349,539.4,337,539.4,393
542.2,354,542.2,88,542.2,104,542.2,185,542.2,243,542.2,297,542.2,292,542.2,309
545,284,545,56,545,116,545,160,545,183,545,215,545,234,545,237
547.9,231,547.9,55,547.9,86,547.9,122,547.9,149,547.9,181,547.9,206,547.9,185
550.7,176,550.7,66,550.7,70,550.7,129,550.7,126,550.7,137,550.7,135,550.7,160
553.5,131,553.5,52,553.5,67,553.5,88,553.5,123,553.5,110,553.5,111,553.5,140
556.4,108,556.4,66,556.4,71,556.4,65,556.4,93,556.4,103,556.4,76,556.4,88
559.2,83,559.2,46,559.2,61,559.2,77,559.2,69,559.2,91,559.2,65,559.2,82
562.1,77,562.1,38,562.1,52,562.1,64,562.1,63,562.1,66,562.1,69,562.1,73
564.9,59,564.9,50,564.9,41,564.9,52,564.9,52,564.9,55,564.9,52,564.9,74
567.7,58,567.7,44,567.7,60,567.7,49,567.7,70,567.7,48,567.7,56,567.7,61
570.6,50,570.6,44,570.6,43,570.6,46,570.6,69,570.6,57,570.6,51,570.6,51
573.4,45,573.4,43,573.4,56,573.4,63,573.4,36,573.4,42,573.4,48,573.4,44
576.2,42,576.2,54,576.2,47,576.2,44,576.2,48,576.2,40,576.2,46,576.2,43
579.1,45,579.1,48,579.1,57,579.1,50,579.1,44,579.1,58,579.1,42,579.1,43
581.9,54,581.9,49,581.9,48,581.9,42,581.9,56,581.9,47,581.9,60,581.9,50
584.7,59,584.7,44,584.7,40,584.7,45,584.7,53,584.7,43,584.7,41,584.7,58
