E_A#3 / keV,N_A#3,E_A#12 / keV,N_A#12,E_A#13 / keV,N_A#13,E_A#14 / keV,N_A#14,E_A#15 / keV,N_A#15,E_A#16 / keV,N_A#16,E_A#17 / keV,N_A#17,E_A#18 / keV,N_A#18
275.6,898,275.6,576,275.6,703,275.6,855,275.6,946,275.6,922,275.6,930,275.6,893
278.4,886,278.4,587,278.4,727,278.4,860,278.4,893,278.4,913,278.4,914,278.4,923
281.2,908,281.2,551,281.2,694,281.2,833,281.2,867,281.2,873,281.2,903,281.2,918
284.1,887,284.1,576,284.1,704,284.1,809,284.1,854,284.1,930,284.1,887,284.1,879
286.9,871,286.9,545,286.9,728,286.9,861,286.9,887,286.9,858,286.9,904,286.9,902
289.8,893,289.8,570,289.8,717,289.8,850,289.8,835,289.8,942,289.8,916,289.8,854
292.6,838,292.6,547,292.6,659,292.6,849,292.6,827,292.6,882,292.6,880,292.6,871
295.4,866,295.4,568,295.4,659,295.4,809,295.4,872,295.4,860,295.4,906,295.4,898
298.3,911,298.3,585,298.3,655,298.3,851,298.3,823,298.3,819,298.3,899,298.3,858
301.1,889,301.1,563,301.1,751,301.1,813,301.1,872,301.1,824,301.1,918,301.1,860
303.9,868,303.9,534,303.9,695,303.9,855,303.9,866,303.9,895,303.9,871,303.9,864
306.8,821,306.8,542,306.8,672,306.8,762,306.8,794,306.8,831,306.8,869,306.8,888
309.6,826,309.6,565,309.6,612,309.6,776,309.6,801,309.6,820,309.6,858,309.6,782
312.4,791,312.4,549,312.4,710,312.4,828,312.4,807,312.4,861,312.4,849,312.4,825
315.3,779,315.3,520,315.3,648,315.3,805,315.3,874,315.3,871,315.3,889,315.3,850
318.1,847,318.1,514,318.1,613,318.1,836,318.1,873,318.1,809,318.1,808,318.1,852
321,819,321,561,321,637,321,790,321,790,321,873,321,810,321,843
323.8,816,323.8,558,323.8,677,323.8,802,323.8,869,323.8,812,323.8,856,323.8,866
326.6,818,326.6,527,326.6,675,326.6,823,326.6,871,326.6,828,326.6,834,326.6,859
329.5,793,329.5,530,329.5,665,329.5,838,329.5,863,329.5,844,329.5,874,329.5,909
332.3,819,332.3,496,332.3,686,332.3,773,332.3,826,332.3,883,332.3,834,332.3,843
335.1,829,335.1,515,335.1,679,335.1,782,335.1,893,335.1,855,335.1,822,335.1,851
338,833,338,522,338,673,338,824,338,876,338,841,338,842,338,858
340.8,822,340.8,536,340.8,670,340.8,809,340.8,883,340.8,848,340.8,805,340.8,851
343.7,813,343.7,511,343.7,645,343.7,786,343.7,836,343.7,821,343.7,845,343.7,759
346.5,821,346.5,524,346.5,648,346.5,791,346.5,845,346.5,777,346.5,802,346.5,880
349.3,849,349.3,523,349.3,647,349.3,790,349.3,861,349.3,838,349.3,821,349.3,868
352.2,812,352.2,495,352.2,685,352.2,825,352.2,781,352.2,845,352.2,797,352.2,862
355,807,355,547,355,679,355,789,355,824,355,845,355,838,355,819
357.8,792,357.8,534,357.8,710,357.8,827,357.8,827,357.8,833,357.8,825,357.8,887
360.7,875,360.7,517,360.7,632,360.7,777,360.7,793,360.7,865,360.7,838,360.7,815
363.5,818,363.5,525,363.5,661,363.5,784,363.5,753,363.5,821,363.5,815,363.5,820
366.3,811,366.3,504,366.3,603,366.3,772,366.3,793,366.3,810,366.3,852,366.3,782
369.2,873,369.2,494,369.2,679,369.2,783,369.2,839,369.2,792,369.2,779,369.2,815
372,799,372,515,372,667,372,850,372,823,372,849,372,826,372,855
374.9,887,374.9,513,374.9,661,374.9,811,374.9,784,374.9,826,374.9,872,374.9,829
377.7,877,377.7,513,377.7,672,377.7,853,377.7,813,377.7,847,377.7,825,377.7,817
380.5,827,380.5,526,380.5,665,380.5,784,380.5,876,380.5,821,380.5,817,380.5,848
383.4,833,383.4,517,383.4,645,383.4,828,383.4,791,383.4,834,383.4,877,383.4,800
386.2,820,386.2,480,386.2,652,386.2,833,386.2,866,386.2,861,386.2,854,386.2,824
389,893,389,480,389,625,389,799,389,800,389,836,389,861,389,864
391.9,888,391.9,489,391.9,597,391.9,773,391.9,798,391.9,836,391.9,820,391.9,865
394.7,831,394.7,492,394.7,629,394.7,747,394.7,842,394.7,864,394.7,868,394.7,885
397.5,856,397.5,530,397.5,629,397.5,804,397.5,866,397.5,825,397.5,854,397.5,870
400.4,914,400.4,482,400.4,661,400.4,781,400.4,867,400.4,841,400.4,899,400.4,881
403.2,878,403.2,509,403.2,620,403.2,770,403.2,873,403.2,913,403.2,869,403.2,881
406.1,897,406.1,457,406.1,636,406.1,753,406.1,869,406.1,872,406.1,868,406.1,843
