E_A#3 / keV,N_A#3,E_A#19 / keV,N_A#19,E_A#20 / keV,N_A#20,E_A#21 / keV,N_A#21,E_A#22 / keV,N_A#22,E_A#23 / keV,N_A#23,E_A#24 / keV,N_A#24,E_A#25 / keV,N_A#25,E_A#26 / keV,N_A#26
471.3,457,471.3,107,471.3,184,471.3,276,471.3,394,471.3,411,471.3,417,471.3,439,471.3,439
474.1,413,474.1,121,474.1,162,474.1,259,474.1,340,474.1,384,474.1,419,474.1,445,474.1,449
477,352,477,119,477,171,477,253,477,338,477,338,477,378,477,422,477,431
479.8,359,479.8,117,479.8,147,479.8,219,479.8,345,479.8,310,479.8,348,479.8,350,479.8,390
482.6,356,482.6,108,482.6,153,482.6,219,482.6,269,482.6,320,482.6,362,482.6,340,482.6,355
485.5,325,485.5,108,485.5,158,485.5,214,485.5,310,485.5,330,485.5,309,485.5,326,485.5,358
488.3,317,488.3,127,488.3,158,488.3,237,488.3,300,488.3,322,488.3,293,488.3,350,488.3,344
491.1,274,491.1,111,491.1,149,491.1,219,491.1,256,491.1,266,491.1,294,491.1,296,491.1,305
494,327,494,131,494,156,494,197,494,256,494,310,494,317,494,296,494,330
496.8,262,496.8,121,496.8,158,496.8,200,496.8,301,496.8,268,496.8,310,496.8,307,496.8,274
499.7,317,499.7,111,499.7,158,499.7,205,499.7,265,499.7,283,499.7,285,499.7,287,499.7,277
502.5,255,502.5,115,502.5,140,502.5,198,502.5,275,502.5,275,502.5,267,502.5,287,502.5,277
505.3,252,505.3,113,505.3,148,505.3,202,505.3,256,505.3,261,505.3,260,505.3,283,505.3,305
508.2,242,508.2,123,508.2,165,508.2,200,508.2,292,508.2,262,508.2,209,508.2,238,508.2,297
511,274,511,106,511,160,511,210,511,257,511,269,511,269,511,280,511,265
513.8,246,513.8,123,513.8,163,513.8,233,513.8,248,513.8,279,513.8,292,513.8,238,513.8,268
516.7,245,516.7,107,516.7,152,516.7,224,516.7,264,516.7,276,516.7,243,516.7,244,516.7,248
519.5,216,519.5,99,519.5,143,519.5,228,519.5,244,519.5,243,519.5,260,519.5,224,519.5,226
522.3,204,522.3,100,522.3,157,522.3,235,522.3,229,522.3,241,522.3,229,522.3,258,522.3,227
525.2,189,525.2,110,525.2,130,525.2,175,525.2,213,525.2,218,525.2,230,525.2,235,525.2,221
528,213,528,125,528,113,528,153,528,233,528,234,528,225,528,221,528,219
