E_A#27 / keV,N_A#27,E_A#28 / keV,N_A#28,E_A#29 / keV,N_A#29,E_A#30 / keV,N_A#30,E_A#31 / keV,N_A#31,E_A#32 / keV,N_A#32,E_A#33 / keV,N_A#33,E_A#34 / keV,N_A#34,E_A#35 / keV,N_A#35
516.7,1225,516.7,418,516.7,578,516.7,688,516.7,827,516.7,994,516.7,931,516.7,961,516.7,992
519.5,1180,519.5,415,519.5,545,519.5,626,519.5,863,519.5,958,519.5,906,519.5,911,519.5,957
522.3,1098,522.3,441,522.3,513,522.3,626,522.3,799,522.3,859,522.3,834,522.3,904,522.3,952
525.2,1043,525.2,359,525.2,441,525.2,540,525.2,680,525.2,770,525.2,796,525.2,800,525.2,840
528,932,528,316,528,414,528,498,528,623,528,716,528,723,528,727,528,743
530.9,811,530.9,286,530.9,349,530.9,445,530.9,533,530.9,621,530.9,585,530.9,673,530.9,668
533.7,682,533.7,244,533.7,292,533.7,361,533.7,490,533.7,534,533.7,546,533.7,564,533.7,552
536.5,579,536.5,213,536.5,276,536.5,299,536.5,378,536.5,439,536.5,445,536.5,480,536.5,501
539.4,454,539.4,180,539.4,206,539.4,252,539.4,331,539.4,345,539.4,337,539.4,353,539.4,401
542.2,354,542.2,153,542.2,180,542.2,207,542.2,260,542.2,286,542.2,285,542.2,286,542.2,308
545,284,545,121,545,149,545,148,545,200,545,251,545,222,545,253,545,243
547.9,231,547.9,115,547.9,132,547.9,134,547.9,185,547.9,189,547.9,195,547.9,182,547.9,204
550.7,176,550.7,88,550.7,112,550.7,100,550.7,129,550.7,140,550.7,130,550.7,156,550.7,153
553.5,131,553.5,75,553.5,100,553.5,108,553.5,129,553.5,122,553.5,106,553.5,112,553.5,113
556.4,108,556.4,71,556.4,60,556.4,76,556.4,78,556.4,97,556.4,88,556.4,93,556.4,93
559.2,83,559.2,57,559.2,62,559.2,60,559.2,61,559.2,89,559.2,103,559.2,77,559.2,80
562.1,77,562.1,42,562.1,69,562.1,53,562.1,54,562.1,75,562.1,73,562.1,55,562.1,66
564.9,59,564.9,48,564.9,58,564.9,60,564.9,45,564.9,43,564.9,62,564.9,54,564.9,54
567.7,58,567.7,50,567.7,53,567.7,59,567.7,55,567.7,42,567.7,44,567.7,52,567.7,65
570.6,50,570.6,58,570.6,42,570.6,47,570.6,51,570.6,50,570.6,52,570.6,47,570.6,59
573.4,45,573.4,55,573.4,44,573.4,44,573.4,67,573.4,42,573.4,47,573.4,51,573.4,57
576.2,42,576.2,43,576.2,42,576.2,45,576.2,60,576.2,44,576.2,53,576.2,60,576.2,48
579.1,45,579.1,46,579.1,44,579.1,52,579.1,49,579.1,60,579.1,47,579.1,46,579.1,49
581.9,54,581.9,48,581.9,45,581.9,44,581.9,59,581.9,45,581.9,52,581.9,44,581.9,63
584.7,59,584.7,51,584.7,66,584.7,52,584.7,45,584.7,56,584.7,40,584.7,51,584.7,45
587.6,58,587.6,54,587.6,55,587.6,52,587.6,45,587.6,52,587.6,33,587.6,56,587.6,58
590.4,57,590.4,40,590.4,51,590.4,44,590.4,52,590.4,48,590.4,47,590.4,48,590.4,47
593.3,51,593.3,43,593.3,46,593.3,44,593.3,46,593.3,48,593.3,51,593.3,45,593.3,61
596.1,59,596.1,51,596.1,54,596.1,45,596.1,42,596.1,55,596.1,50,596.1,49,596.1,64
598.9,50,598.9,51,598.9,53,598.9,57,598.9,31,598.9,47,598.9,47,598.9,41,598.9,50
601.8,58,601.8,64,601.8,50,601.8,47,601.8,58,601.8,50,601.8,44,601.8,52,601.8,39
604.6,57,604.6,53,604.6,40,604.6,50,604.6,49,604.6,51,604.6,56,604.6,47,604.6,49
607.4,39,607.4,52,607.4,65,607.4,50,607.4,47,607.4,42,607.4,47,607.4,53,607.4,42
610.3,50,610.3,40,610.3,60,610.3,54,610.3,47,610.3,52,610.3,58,610.3,55,610.3,48
613.1,55,613.1,50,613.1,46,613.1,47,613.1,62,613.1,60,613.1,62,613.1,52,613.1,50
615.9,44,615.9,49,615.9,59,615.9,41,615.9,52,615.9,55,615.9,49,615.9,50,615.9,49
618.8,54,618.8,57,618.8,49,618.8,55,618.8,53,618.8,51,618.8,62,618.8,62,618.8,49
621.6,67,621.6,64,621.6,56,621.6,75,621.6,53,621.6,45,621.6,46,621.6,55,621.6,61
624.5,51,624.5,40,624.5,51,624.5,67,624.5,67,624.5,56,624.5,56,624.5,67,624.5,53
627.3,52,627.3,63,627.3,54,627.3,64,627.3,49,627.3,67,627.3,66,627.3,69,627.3,68
630.1,56,630.1,77,630.1,78,630.1,59,630.1,69,630.1,65,630.1,79,630.1,59,630.1,66
633,76,633,88,633,86,633,71,633,73,633,76,633,77,633,82,633,67
635.8,66,635.8,84,635.8,77,635.8,80,635.8,87,635.8,74,635.8,81,635.8,84,635.8,83
638.6,81,638.6,77,638.6,94,638.6,98,638.6,100,638.6,93,638.6,82,638.6,90,638.6,88
641.5,130,641.5,87,641.5,102,641.5,96,641.5,94,641.5,99,641.5,107,641.5,88,641.5,79
644.3,103,644.3,116,644.3,120,644.3,115,644.3,95,644.3,117,644.3,122,644.3,112,644.3,104
647.1,114,647.1,111,647.1,119,647.1,114,647.1,125,647.1,106,647.1,107,647.1,100,647.1,128
650,137,650,137,650,118,650,126,650,107,650,154,650,143,650,130,650,116
652.8,136,652.8,122,652.8,146,652.8,151,652.8,124,652.8,145,652.8,143,652.8,150,652.8,162
655.7,135,655.7,157,655.7,143,655.7,170,655.7,142,655.7,148,655.7,135,655.7,155,655.7,131
658.5,156,658.5,138,658.5,167,658.5,166,658.5,165,658.5,160,658.5,157,658.5,161,658.5,149
